Date,Mention_Count,Mention_Rank,Sentiment_Score,Close,Volume
2018-08-01,3.0,9.0,-0.09103,252.16590881347656,53853300.0
2018-08-02,2.0,17.0,-0.38075,253.5395965576172,63426400.0
2018-08-03,12.0,3.0,-0.04688,254.6259613037109,53935400.0
2018-08-04,0.0,0.0,0.0,,
2018-08-05,0.0,0.0,0.0,,
2018-08-06,3.0,9.0,-0.3026,255.5597686767578,39400900.0
2018-08-07,6.0,8.0,-0.04878,256.40362548828125,43196600.0
2018-08-08,6.0,6.0,-0.1805,256.2958068847656,42114600.0
2018-08-09,7.0,10.0,-0.17851,255.9457855224609,35717000.0
2018-08-10,10.0,2.0,0.0991,254.2309112548828,77076000.0
2018-08-11,0.0,0.0,0.0,,
2018-08-12,0.0,0.0,0.0,,
2018-08-13,8.0,5.0,-0.27581,253.2792053222656,65732900.0
2018-08-14,3.0,12.0,-0.05853,254.89529418945312,43842000.0
2018-08-15,8.0,7.0,0.14739,252.9918975830078,102925400.0
2018-08-16,18.0,4.0,-0.03261,255.03900146484372,69967900.0
2018-08-17,6.0,10.0,0.08335,255.93679809570312,65618500.0
2018-08-18,0.0,0.0,0.0,,
2018-08-19,0.0,0.0,0.0,,
2018-08-20,4.0,12.0,-0.16638,256.4844665527344,39807500.0
2018-08-21,18.0,4.0,0.08891,257.08599853515625,67272000.0
2018-08-22,11.0,7.0,-0.0433,256.9333801269531,44993300.0
2018-08-23,11.0,6.0,-0.10332,256.5922241210937,49204900.0
2018-08-24,7.0,11.0,-0.35533,258.1365051269531,57487400.0
2018-08-25,0.0,0.0,0.0,,
2018-08-26,1.0,4.0,0.25,,
2018-08-27,4.0,18.0,0.24913,260.174560546875,57072400.0
2018-08-28,7.0,12.0,-0.11247,260.3002624511719,46943500.0
2018-08-29,11.0,8.0,0.15034,261.700927734375,61485500.0
2018-08-30,7.0,15.0,0.10916,260.6414489746094,61229500.0
2018-08-31,16.0,10.0,0.15771,260.650390625,66140800.0
2018-09-01,0.0,0.0,0.0,,
2018-09-02,0.0,0.0,0.0,,
2018-09-03,0.0,0.0,0.0,,
2018-09-04,11.0,10.0,0.13233,260.2015075683594,57594400.0
2018-09-05,8.0,15.0,-0.06925,259.5011901855469,72452400.0
2018-09-06,11.0,12.0,-0.00093,258.7201843261719,65909900.0
2018-09-07,5.0,18.0,-0.38746,258.2172546386719,73524800.0
2018-09-08,0.0,0.0,0.0,,
2018-09-09,0.0,0.0,0.0,,
2018-09-10,2.0,30.0,0.36755,258.6662292480469,50210900.0
2018-09-11,2.0,38.0,0.4253,259.51904296875,50530500.0
2018-09-12,3.0,24.0,-0.12833,259.5820007324219,59810800.0
2018-09-13,2.0,41.0,0.50855,261.1172180175781,51034200.0
2018-09-14,14.0,10.0,0.281,261.16217041015625,55079900.0
2018-09-15,0.0,0.0,0.0,,
2018-09-16,0.0,0.0,0.0,,
2018-09-17,3.0,21.0,-0.48823,259.77947998046875,68244000.0
2018-09-18,10.0,14.0,-0.00654,261.1891174316406,61930400.0
2018-09-19,4.0,23.0,0.14495,261.4673767089844,49080600.0
2018-09-20,19.0,8.0,-0.01468,263.5862731933594,100360600.0
2018-09-21,14.0,11.0,-0.00668,263.3454895019531,105479700.0
2018-09-22,1.0,10.0,0.8814,,
2018-09-23,1.0,5.0,-0.501,,
2018-09-24,13.0,15.0,0.24017,262.4706420898437,53409600.0
2018-09-25,4.0,30.0,0.19765,262.22723388671875,44370000.0
2018-09-26,29.0,5.0,0.17748,261.4424743652344,79739700.0
2018-09-27,15.0,11.0,0.05846,262.1730041503906,59249500.0
2018-09-28,11.0,14.0,0.35051,262.2001647949219,70091400.0
2018-09-29,1.0,23.0,-0.5423,,
2018-09-30,0.0,0.0,0.0,,
2018-10-01,12.0,21.0,-0.01543,263.1109619140625,62078900.0
2018-10-02,5.0,30.0,0.04672,262.9576721191406,47258200.0
2018-10-03,17.0,11.0,0.11758,263.1019897460937,64694600.0
2018-10-04,30.0,9.0,-0.1641,261.04571533203125,111545900.0
2018-10-05,33.0,7.0,0.01921,259.5846252441406,105951700.0
2018-10-06,1.0,20.0,0.7269,,
2018-10-07,0.0,0.0,0.0,,
2018-10-08,56.0,5.0,0.00569,259.5846252441406,87742200.0
2018-10-09,37.0,5.0,0.20754,259.205810546875,74339000.0
2018-10-10,112.0,1.0,0.00878,250.99855041503903,214731000.0
2018-10-11,152.0,2.0,0.05243,245.46994018554688,274840500.0
2018-10-12,93.0,2.0,-0.03219,248.8791046142578,183186500.0
2018-10-13,13.0,1.0,0.27142,,
2018-10-14,3.0,2.0,0.35753,,
2018-10-15,59.0,2.0,0.01847,247.4812164306641,102263700.0
2018-10-16,51.0,1.0,0.12134,252.8924865722656,118255800.0
2018-10-17,49.0,1.0,0.18104,252.9376373291016,110626000.0
2018-10-18,48.0,1.0,0.05934,249.28489685058597,134557500.0
2018-10-19,32.0,3.0,0.20731,249.1496124267578,139901600.0
2018-10-20,1.0,8.0,-0.1027,,
2018-10-21,0.0,0.0,0.0,,
2018-10-22,23.0,4.0,0.0172,248.0312347412109,82415800.0
2018-10-23,61.0,2.0,0.06427,246.76861572265625,146352700.0
2018-10-24,60.0,6.0,0.0871,239.29185485839844,177806700.0
2018-10-25,45.0,7.0,0.10212,243.5849456787109,138061500.0
2018-10-26,77.0,2.0,-0.02659,239.30084228515625,201574600.0
2018-10-27,5.0,3.0,0.11894,,
2018-10-28,2.0,3.0,-0.3753,,
2018-10-29,84.0,2.0,-0.00358,237.97503662109372,160749100.0
2018-10-30,65.0,4.0,0.07451,241.5015411376953,157116000.0
2018-10-31,90.0,1.0,0.05937,244.0809631347656,128296300.0
2018-11-01,42.0,7.0,0.04462,246.6783905029297,99495000.0
2018-11-02,63.0,2.0,-0.0483,245.21743774414065,122634100.0
2018-11-03,6.0,2.0,0.2249,,
2018-11-04,0.0,0.0,0.0,,
2018-11-05,46.0,2.0,0.04533,246.57015991210935,65622500.0
2018-11-06,29.0,3.0,0.02073,248.1304473876953,60085900.0
2018-11-07,59.0,3.0,-0.03233,253.44268798828125,102752100.0
2018-11-08,36.0,4.0,0.02546,252.9827423095703,65584900.0
2018-11-09,46.0,2.0,0.15358,250.5114898681641,98812600.0
2018-11-10,2.0,7.0,0.6714,,
2018-11-11,1.0,10.0,0.1406,,
2018-11-12,54.0,2.0,0.00819,245.8306884765625,99673600.0
2018-11-13,52.0,2.0,0.08817,245.3706817626953,98176600.0
2018-11-14,69.0,2.0,0.06578,243.69317626953125,125335900.0
2018-11-15,79.0,1.0,0.14098,246.23648071289065,135101400.0
2018-11-16,74.0,1.0,0.0251,246.87681579589844,126668000.0
2018-11-17,6.0,4.0,0.09182,,
2018-11-18,1.0,8.0,-0.5255,,
2018-11-19,85.0,1.0,0.03516,242.7010040283203,103061700.0
2018-11-20,66.0,3.0,0.05285,238.2096099853516,136021300.0
2018-11-21,41.0,3.0,-0.11272,239.02133178710935,75563700.0
2018-11-22,3.0,2.0,0.208,,
2018-11-23,48.0,1.0,-0.02022,237.4249420166016,42807900.0
2018-11-24,5.0,2.0,0.2008,,
2018-11-25,5.0,1.0,0.01576,,
2018-11-26,48.0,1.0,0.102,241.2579803466797,79981400.0
2018-11-27,39.0,2.0,0.06299,242.0697479248047,75502400.0
2018-11-28,81.0,2.0,-0.00702,247.6434326171875,127629600.0
2018-11-29,70.0,1.0,0.11859,247.10235595703125,82346400.0
2018-11-30,82.0,1.0,0.10291,248.6084747314453,98204200.0
2018-12-01,31.0,1.0,0.11417,,
2018-12-02,15.0,3.0,0.39017,,
2018-12-03,86.0,2.0,0.05982,251.90042114257807,103176300.0
2018-12-04,112.0,2.0,0.09175,243.73828125,177986000.0
2018-12-05,15.0,1.0,0.02591,,
2018-12-06,168.0,1.0,0.05076,243.36849975585935,204185400.0
2018-12-07,177.0,1.0,0.00604,237.7135467529297,161018900.0
2018-12-08,25.0,1.0,0.19079,,
2018-12-09,19.0,1.0,0.09623,,
2018-12-10,143.0,1.0,0.00084,238.1645050048828,151445900.0
2018-12-11,191.0,1.0,0.04215,238.21861267089844,121504400.0
2018-12-12,150.0,1.0,-0.00422,239.4181060791016,97976700.0
2018-12-13,139.0,1.0,0.024,239.3369903564453,96662700.0
2018-12-14,186.0,1.0,0.01873,234.91766357421875,116961100.0
2018-12-15,27.0,1.0,0.10391,,
2018-12-16,8.0,1.0,0.2558,,
2018-12-17,175.0,1.0,-0.00787,230.30892944335935,165492300.0
2018-12-18,122.0,1.0,0.03879,230.056396484375,134515100.0
2018-12-19,176.0,1.0,-0.00325,226.61117553710935,214992800.0
2018-12-20,188.0,1.0,0.03459,222.9224090576172,252053400.0
2018-12-21,259.0,1.0,0.05109,218.3548583984375,255345600.0
2018-12-22,25.0,1.0,0.23518,,
2018-12-23,14.0,1.0,0.14721,,
2018-12-24,97.0,1.0,-0.00049,212.58523559570312,147311600.0
2018-12-25,5.0,1.0,0.09526,,
2018-12-26,137.0,1.0,0.09417,223.32611083984372,218485400.0
2018-12-27,104.0,1.0,-0.02695,225.04067993164065,186267300.0
2018-12-28,155.0,1.0,-0.001,224.75033569335935,153100200.0
2018-12-29,38.0,1.0,0.08475,,
2018-12-30,10.0,1.0,-0.10355,,
2018-12-31,91.0,1.0,0.07555,226.71890258789065,144299400.0
2019-01-01,3.0,1.0,0.6781,,
2019-01-02,116.0,1.0,0.03945,226.9547882080078,126925200.0
2019-01-03,87.0,2.0,0.07773,221.53900146484372,144140700.0
2019-01-04,182.0,1.0,0.07909,228.9596099853516,142628800.0
2019-01-05,15.0,1.0,-0.05247,,
2019-01-06,14.0,1.0,0.02034,,
2019-01-07,97.0,2.0,0.06449,230.76487731933597,103139100.0
2019-01-08,93.0,2.0,-0.00657,232.93295288085935,102512600.0
2019-01-09,129.0,2.0,-0.02657,234.0215606689453,95006600.0
2019-01-10,75.0,2.0,0.05364,234.84710693359372,96823900.0
2019-01-11,105.0,2.0,0.03443,234.9378204345703,73858100.0
2019-01-12,11.0,1.0,-0.22326,,
2019-01-13,7.0,1.0,0.31256,,
2019-01-14,76.0,1.0,0.01723,233.50450134277344,70908200.0
2019-01-15,106.0,1.0,0.01562,236.1806488037109,85208300.0
2019-01-16,115.0,1.0,0.05586,236.7521209716797,77636700.0
2019-01-17,91.0,3.0,0.06557,238.54835510253903,96118400.0
2019-01-18,126.0,1.0,0.0045,241.723388671875,127900300.0
2019-01-19,18.0,1.0,-0.19538,,
2019-01-20,5.0,2.0,-0.20022,,
2019-01-21,8.0,1.0,-0.16029,,
2019-01-22,84.0,1.0,0.03672,238.45762634277344,115531200.0
2019-01-23,88.0,1.0,0.09773,238.95657348632807,86030300.0
2019-01-24,83.0,2.0,0.09157,239.0835876464844,59204100.0
2019-01-25,142.0,1.0,-0.01606,241.10655212402344,96883400.0
2019-01-26,12.0,2.0,0.08522,,
2019-01-27,5.0,2.0,0.15256,,
2019-01-28,86.0,2.0,0.04978,239.2741241455078,85613700.0
2019-01-29,61.0,4.0,0.05711,238.95657348632807,66136300.0
2019-01-30,94.0,3.0,0.03954,242.73947143554688,92473700.0
2019-01-31,106.0,3.0,0.19077,244.87124633789065,104012100.0
2019-02-01,113.0,1.0,0.02511,244.9891815185547,85782500.0
2019-02-02,14.0,1.0,0.03478,,
2019-02-03,12.0,1.0,0.25602,,
2019-02-04,76.0,2.0,0.05992,246.7128143310547,60744800.0
2019-02-05,114.0,1.0,0.08389,247.74703979492188,79552800.0
2019-02-06,73.0,1.0,-0.03568,247.4204559326172,58347800.0
