Date,Mention_Count,Mention_Rank,Sentiment_Score,Close,Volume
2018-08-01,1.0,47.0,0.3818,6.102146148681641,283556000.0
2018-08-02,4.0,12.0,0.06068,6.204894065856934,269668000.0
2018-08-03,0.0,0.0,0.0,6.241535186767578,214288000.0
2018-08-04,0.0,0.0,0.0,,
2018-08-05,0.0,0.0,0.0,,
2018-08-06,3.0,10.0,-0.03997,6.28931999206543,207508000.0
2018-08-07,3.0,17.0,-0.1684,6.361612319946289,258132000.0
2018-08-08,6.0,7.0,0.13033,6.398005962371826,262100000.0
2018-08-09,2.0,25.0,-0.148,6.34948205947876,204280000.0
2018-08-10,3.0,13.0,-0.6002,6.308135986328125,256396000.0
2018-08-11,1.0,5.0,-0.4767,,
2018-08-12,1.0,2.0,0.0,,
2018-08-13,4.0,13.0,0.4309,6.341063022613525,375208000.0
2018-08-14,5.0,8.0,0.1252,6.472528457641602,466220000.0
2018-08-15,5.0,12.0,0.0649,6.414347171783447,591136000.0
2018-08-16,35.0,2.0,-0.01154,6.373742580413818,801260000.0
2018-08-17,23.0,3.0,0.12369,6.061295509338379,1143188000.0
2018-08-18,1.0,1.0,0.0,,
2018-08-19,0.0,0.0,0.0,,
2018-08-20,28.0,2.0,-0.02309,6.136065006256104,854388000.0
2018-08-21,6.0,9.0,-0.0249,6.271740913391113,673988000.0
2018-08-22,11.0,8.0,-0.05445,6.506941795349121,749856000.0
2018-08-23,21.0,3.0,0.03521,6.606470584869385,720684000.0
2018-08-24,13.0,8.0,0.02553,6.739669799804688,531512000.0
2018-08-25,0.0,0.0,0.0,,
2018-08-26,0.0,0.0,0.0,,
2018-08-27,13.0,6.0,-0.016,6.830780029296875,505776000.0
2018-08-28,6.0,15.0,0.00747,6.793148517608643,475384000.0
2018-08-29,10.0,10.0,0.07403,6.898675918579102,420108000.0
2018-08-30,6.0,17.0,0.02267,6.881829261779785,346608000.0
2018-08-31,4.0,19.0,0.21685,6.952926158905029,306592000.0
2018-09-01,0.0,0.0,0.0,,
2018-09-02,0.0,0.0,0.0,,
2018-09-03,0.0,0.0,0.0,,
2018-09-04,6.0,16.0,0.26625,7.027737140655518,391720000.0
2018-09-05,7.0,21.0,0.2906,6.896941184997559,393156000.0
2018-09-06,3.0,27.0,0.14613,6.75574254989624,322796000.0
2018-09-07,1.0,53.0,0.7845,6.734438896179199,295420000.0
2018-09-08,0.0,0.0,0.0,,
2018-09-09,0.0,0.0,0.0,,
2018-09-10,3.0,24.0,-0.26793,6.805532932281494,220140000.0
2018-09-11,3.0,27.0,-0.09107,6.757723331451416,243112000.0
2018-09-12,13.0,10.0,-0.02605,6.643773555755615,419092000.0
2018-09-13,7.0,20.0,-0.0281,6.721557140350342,305536000.0
2018-09-14,3.0,30.0,0.22013,6.84764575958252,386936000.0
2018-09-15,0.0,0.0,0.0,,
2018-09-16,0.0,0.0,0.0,,
2018-09-17,2.0,33.0,-0.10115,6.785715579986572,205528000.0
2018-09-18,2.0,39.0,0.10805,6.713629245758057,299520000.0
2018-09-19,10.0,13.0,0.03907,6.737411022186279,224860000.0
2018-09-20,13.0,13.0,0.151,6.596212387084961,430584000.0
2018-09-21,7.0,19.0,0.09323,6.526108264923096,435128000.0
2018-09-22,2.0,5.0,0.0276,,
2018-09-23,0.0,0.0,0.0,,
2018-09-24,15.0,14.0,0.00998,6.581844329833984,293912000.0
2018-09-25,6.0,23.0,0.21585,6.648975849151611,280388000.0
2018-09-26,10.0,16.0,-0.08955,6.612066268920898,268548000.0
2018-09-27,5.0,22.0,0.11122,6.623955249786377,214428000.0
2018-09-28,25.0,7.0,0.04334,6.961349010467529,709396000.0
2018-09-29,0.0,0.0,0.0,,
2018-09-30,2.0,13.0,0.3062,,
2018-10-01,32.0,8.0,0.14812,7.167942047119141,622060000.0
2018-10-02,17.0,16.0,0.06552,7.0966010093688965,383964000.0
2018-10-03,18.0,10.0,0.19466,7.102794647216797,320552000.0
2018-10-04,21.0,12.0,-0.03819,6.918492317199707,391220000.0
2018-10-05,8.0,14.0,-0.06934,6.684895038604736,426636000.0
2018-10-06,2.0,13.0,-0.3404,,
2018-10-07,0.0,0.0,0.0,,
2018-10-08,9.0,14.0,0.03003,6.583578586578369,408612000.0
2018-10-09,6.0,18.0,-0.167,6.577881336212158,273500000.0
2018-10-10,27.0,10.0,-0.02855,6.08616304397583,684940000.0
2018-10-11,14.0,14.0,-0.01131,5.824573040008545,725436000.0
2018-10-12,11.0,17.0,0.16502,6.107216835021973,608236000.0
2018-10-13,3.0,19.0,0.4836,,
2018-10-14,0.0,0.0,0.0,,
2018-10-15,12.0,13.0,-0.0088,5.830766201019287,449760000.0
2018-10-16,19.0,12.0,0.19249,6.089630603790283,408712000.0
2018-10-17,4.0,25.0,0.2333,6.021013259887695,329668000.0
2018-10-18,9.0,17.0,0.12829,5.933568477630615,524020000.0
2018-10-19,27.0,7.0,0.02471,5.676934242248535,613608000.0
2018-10-20,1.0,9.0,0.1539,,
2018-10-21,1.0,4.0,0.4995,,
2018-10-22,3.0,27.0,-0.19947,5.727715015411377,368844000.0
2018-10-23,27.0,9.0,-0.13505,5.476036071777344,626436000.0
2018-10-24,125.0,3.0,0.07614,4.939726829528809,884288000.0
2018-10-25,70.0,5.0,0.00433,5.148553371429443,951720000.0
2018-10-26,18.0,12.0,0.05358,4.911983013153076,664784000.0
2018-10-27,0.0,0.0,0.0,,
2018-10-28,1.0,9.0,0.722,,
2018-10-29,18.0,13.0,-0.11337,4.598124980926514,758016000.0
2018-10-30,30.0,8.0,0.02916,5.02865743637085,807192000.0
2018-10-31,23.0,9.0,-0.07639,5.222620964050293,745772000.0
2018-11-01,9.0,12.0,-0.03014,5.40295934677124,566528000.0
2018-11-02,16.0,12.0,-0.15043,5.323936939239502,452960000.0
2018-11-03,1.0,20.0,0.9846,,
2018-11-04,0.0,0.0,0.0,,
2018-11-05,4.0,20.0,0.22875,5.245905876159668,379332000.0
2018-11-06,1.0,49.0,-0.0258,5.2283196449279785,299012000.0
2018-11-07,15.0,16.0,-0.06766,5.295944213867188,483812000.0
2018-11-08,13.0,10.0,-0.24097,5.102725505828857,511352000.0
2018-11-09,18.0,8.0,-0.05567,5.094798564910889,413240000.0
2018-11-10,2.0,10.0,0.30065,,
2018-11-11,4.0,2.0,-0.1372,,
2018-11-12,24.0,7.0,0.03867,4.695230484008789,617116000.0
2018-11-13,20.0,8.0,0.02431,4.937250137329102,644712000.0
2018-11-14,25.0,6.0,-0.1986,4.884735107421875,526580000.0
2018-11-15,63.0,2.0,0.07638,5.013546943664551,840708000.0
2018-11-16,58.0,3.0,0.12004,4.07321310043335,1963520000.0
2018-11-17,8.0,2.0,0.05169,,
2018-11-18,0.0,0.0,0.0,,
2018-11-19,80.0,2.0,0.00168,3.5844671726226807,1697820000.0
2018-11-20,123.0,1.0,0.00622,3.692967414855957,1692032000.0
2018-11-21,63.0,2.0,-0.01804,3.584714412689209,1025496000.0
2018-11-22,1.0,11.0,-0.8553,,
2018-11-23,30.0,3.0,-0.062,3.5918986797332764,411968000.0
2018-11-24,4.0,5.0,0.1749,,
2018-11-25,0.0,0.0,0.0,,
2018-11-26,25.0,7.0,-0.18371,3.791310787200928,814832000.0
2018-11-27,12.0,10.0,0.02789,3.808155059814453,738060000.0
2018-11-28,7.0,20.0,-0.24314,3.9652085304260254,804524000.0
2018-11-29,4.0,24.0,0.1273,3.901977300643921,549172000.0
2018-11-30,11.0,12.0,0.21657,4.052492618560791,729564000.0
2018-12-01,8.0,7.0,0.17784,,
2018-12-02,6.0,8.0,-0.26988,,
2018-12-03,28.0,8.0,0.16699,4.216397285461426,890804000.0
2018-12-04,11.0,17.0,-0.01135,3.89577841758728,812112000.0
2018-12-05,2.0,19.0,0.25355,,
2018-12-06,12.0,14.0,0.11811,3.9250376224517822,692308000.0
2018-12-07,28.0,9.0,0.12855,3.660211324691773,681676000.0
2018-12-08,0.0,0.0,0.0,,
2018-12-09,1.0,22.0,0.4576,,
2018-12-10,8.0,17.0,-0.17544,3.765596389770508,629472000.0
2018-12-11,18.0,9.0,0.06646,3.674593925476074,671912000.0
2018-12-12,17.0,6.0,0.02713,3.692199945449829,654136000.0
2018-12-13,3.0,29.0,-0.25997,3.691951751708984,471384000.0
2018-12-14,11.0,14.0,0.04954,3.631447315216065,471820000.0
2018-12-15,4.0,6.0,-0.13558,,
2018-12-16,0.0,0.0,0.0,,
2018-12-17,12.0,13.0,0.03363,3.560281753540039,662868000.0
2018-12-18,16.0,12.0,0.02009,3.643598318099976,564372000.0
2018-12-19,25.0,10.0,0.00446,3.434562921524048,745364000.0
2018-12-20,15.0,17.0,-0.06363,3.3500070571899414,749588000.0
2018-12-21,19.0,13.0,0.03544,3.2128829956054688,863740000.0
2018-12-22,2.0,21.0,0.526,,
2018-12-23,2.0,11.0,0.4311,,
2018-12-24,16.0,11.0,0.02225,3.1511390209198,463840000.0
2018-12-25,3.0,8.0,0.6169,,
2018-12-26,8.0,17.0,-0.09365,3.3004138469696045,695100000.0
2018-12-27,9.0,15.0,0.30613,3.252557277679444,637044000.0
2018-12-28,9.0,18.0,0.30359,3.3140528202056885,628728000.0
2018-12-29,3.0,7.0,0.2696,,
2018-12-30,2.0,9.0,-0.4263,,
2018-12-31,0.0,0.0,0.0,3.310332536697388,465140000.0
2019-01-01,0.0,0.0,0.0,,
2019-01-02,1.0,52.0,0.0,3.377779722213745,508752000.0
2019-01-03,6.0,18.0,0.1012,3.173703670501709,705552000.0
2019-01-04,8.0,20.0,0.16568,3.377035140991211,585620000.0
2019-01-05,0.0,0.0,0.0,,
